,ps,link,lig,gen
0,1,2,52,0
1,5,3,245,0
2,1,0,34,0
3,0,3,281,0
4,2,6,391,0
5,0,1,266,0
6,4,2,141,0
7,6,1,54,0
8,2,1,13,0
9,6,5,413,0
10,2,6,139,0
11,1,1,158,0
12,2,5,374,0
13,6,6,190,0
14,0,6,310,0
15,2,5,198,0
16,4,1,91,0
17,1,3,143,0
18,0,6,280,0
19,6,2,3,0
20,2,4,360,0
21,4,1,211,0
22,3,4,147,0
23,3,3,82,0
24,1,2,132,0
25,6,6,22,0
26,0,0,236,0
27,5,2,265,0
28,4,5,241,0
29,5,2,74,0
30,5,1,34,0
31,3,1,325,0
32,5,3,141,0
33,1,2,223,0
34,5,4,164,0
35,5,4,101,0
36,2,0,31,0
37,5,1,142,0
38,6,4,315,0
39,6,1,62,0
40,2,1,148,0
41,3,0,21,0
42,2,5,42,0
43,2,5,345,0
44,2,0,165,0
45,2,2,78,0
46,6,5,210,0
47,6,6,317,0
48,5,6,39,0
49,2,4,98,0
0,0,4,161,99
1,0,4,161,99
2,0,3,108,99
3,0,3,40,99
4,0,3,40,99
5,1,4,161,99
6,1,4,161,99
7,0,3,119,99
8,5,3,161,99
9,6,3,40,99
10,6,3,40,99
11,5,3,40,99
12,0,3,106,99
13,0,2,40,99
14,6,3,108,99
15,0,3,310,99
16,3,4,161,99
17,5,2,40,99
18,1,3,275,99
19,1,4,40,99
20,0,0,40,99
21,1,1,40,99
22,5,4,161,99
23,5,3,335,99
24,3,1,40,99
25,0,3,218,99
26,5,5,108,99
27,0,0,344,99
28,0,0,29,99
29,5,0,121,99
30,1,4,57,99
31,4,2,275,99
32,3,3,275,99
33,2,1,40,99
34,3,1,310,99
35,5,0,8,99
36,3,3,258,99
37,0,3,288,99
38,2,3,310,99
39,3,0,258,99
40,1,3,116,99
41,0,0,250,99
42,1,6,40,99
43,3,3,216,99
44,6,5,161,99
45,3,4,40,99
46,6,5,40,99
47,3,3,286,99
48,1,1,107,99
49,0,5,396,99
