,ps,link,lig,gen
0,5,0,12,0
1,5,2,125,0
2,1,1,377,0
3,0,5,379,0
4,4,0,302,0
5,3,0,15,0
6,0,1,119,0
7,4,4,13,0
8,4,1,366,0
9,5,5,279,0
10,3,1,229,0
11,4,2,414,0
12,6,0,388,0
13,6,1,357,0
14,3,2,142,0
15,1,1,390,0
16,2,0,47,0
17,3,0,183,0
18,6,2,309,0
19,2,6,22,0
20,5,3,274,0
21,0,3,40,0
22,4,2,321,0
23,4,6,185,0
24,4,1,360,0
25,0,0,338,0
26,1,6,148,0
27,0,6,119,0
28,6,0,194,0
29,2,3,325,0
30,6,2,83,0
31,2,2,107,0
32,5,2,359,0
33,5,5,36,0
34,4,5,87,0
35,4,5,125,0
36,1,3,194,0
37,2,5,352,0
38,4,1,350,0
39,2,6,393,0
40,6,0,117,0
41,6,0,412,0
42,2,3,137,0
43,0,1,290,0
44,5,2,108,0
45,5,3,202,0
46,5,3,73,0
47,2,1,126,0
48,5,4,275,0
49,2,5,299,0
50,3,4,204,0
51,2,1,70,0
52,4,3,46,0
53,6,0,56,0
54,1,5,81,0
55,6,5,216,0
56,4,0,197,0
57,3,4,239,0
58,4,2,283,0
59,6,0,348,0
60,5,0,349,0
61,4,6,136,0
62,6,5,174,0
63,0,2,222,0
64,1,3,1,0
65,5,5,134,0
66,4,6,91,0
67,4,0,320,0
68,2,6,327,0
69,4,4,101,0
70,1,2,390,0
71,1,4,398,0
72,4,0,306,0
73,2,3,9,0
74,0,2,413,0
75,2,1,29,0
76,1,4,40,0
77,0,5,248,0
78,6,0,389,0
79,4,6,64,0
80,1,5,243,0
81,4,1,135,0
82,4,6,310,0
83,3,1,276,0
84,6,5,353,0
85,1,5,159,0
86,3,5,332,0
87,2,3,264,0
88,3,0,126,0
89,1,0,173,0
90,0,4,283,0
91,1,4,112,0
92,0,0,362,0
93,5,0,117,0
94,0,0,169,0
95,0,4,121,0
96,2,5,248,0
97,1,4,67,0
98,5,4,295,0
99,3,1,401,0
0,0,3,108,99
1,0,3,108,99
2,0,3,40,99
3,0,2,9,99
4,0,3,295,99
5,0,3,295,99
6,0,3,213,99
7,0,3,119,99
8,1,3,295,99
9,6,3,40,99
10,6,3,40,99
11,5,3,40,99
12,5,3,40,99
13,0,3,53,99
14,2,3,108,99
15,2,3,40,99
16,0,2,45,99
17,0,1,9,99
18,6,1,40,99
19,0,0,220,99
20,0,2,158,99
21,5,0,40,99
22,2,4,295,99
23,0,0,138,99
24,3,2,295,99
25,6,3,112,99
26,6,3,182,99
27,0,4,230,99
28,1,1,119,99
29,1,0,10,99
30,6,1,220,99
31,5,4,40,99
32,6,3,45,99
33,0,2,406,99
34,6,1,77,99
35,2,5,295,99
36,0,3,392,99
37,1,0,62,99
38,0,0,41,99
39,1,3,41,99
40,0,3,263,99
41,2,2,41,99
42,3,5,53,99
43,6,0,150,99
44,3,4,53,99
45,4,3,125,99
46,2,4,45,99
47,0,3,325,99
48,4,3,33,99
49,0,5,326,99
